"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
1,Start week,2,51,-Inf,3
2,Start week,4,4,0,0
3,Start week,1,47,-Inf,6
4,Start week,5,3,-2.04794287462046,2
5,Start week,5,7,-1.71479842809193,2
6,Start week,49,47,-Inf,2
7,Start week,7,7,0,0
8,Start week,3,5,-1.12085789761543,2
9,Start week,4,3,0,1
10,Start week,2,2,-1.11022302462516e-16,0
1,Peak week,9,10,-0.0512932943875506,1
2,Peak week,11,11,0,0
3,Peak week,9,10,0,1
4,Peak week,10,10,0,0
5,Peak week,9,10,0,1
6,Peak week,5,7,-Inf,2
7,Peak week,10,10,0,0
8,Peak week,9,NA,0,NA
9,Peak week,8,7,0,1
10,Peak week,9,7,-1.33180617583582,2
1,Peak intensity,2.44099364208577,2.5,-1.11022302462516e-16,0.1
2,Peak intensity,4.77666724610035,4.1,-3.91202300542815,0.7
3,Peak intensity,3.33024819396163,4,-5.29831736654804,0.7
4,Peak intensity,4.19937275088788,3.6,-1.86433016206289,0.6
5,Peak intensity,2.69512649236687,3.2,-0.0812100554255432,0.5
6,Peak intensity,5.46436221026845,5.3,0,0.2
7,Peak intensity,2.96784133885141,2.5,-0.167235919375914,0.5
8,Peak intensity,2.17202151091537,2.2,0,0
9,Peak intensity,4.54825390583519,4.4,0,0.0999999999999996
10,Peak intensity,2.21619197643779,2.4,0,0.2
1,Forecast,0.920831415740813,0.9,0,0
1,Forecast,0.839618599374586,0.9,0,0.1
1,Forecast,0.775690436000547,0.8,0,0
1,Forecast,0.725885345397234,0.7,0,0
2,Forecast,2.08426206591,1.3,-Inf,0.8
2,Forecast,1.9756959538503,1.3,-Inf,0.7
2,Forecast,1.88369472245374,1.2,-Inf,0.7
2,Forecast,1.80734064857679,0.8,-Inf,1
3,Forecast,1.73861903576069,1.7,0,0
3,Forecast,1.65006411724279,1.7,0,0
3,Forecast,1.58096644898455,1.6,0,0
3,Forecast,1.52764140732094,1.8,0,0.3
4,Forecast,1.14679709981273,1.4,0,0.3
4,Forecast,1.11169410197052,1.2,0,0.0999999999999999
4,Forecast,1.0838221480616,1.1,0,0
4,Forecast,1.03501086017141,1.1,0,0.1
5,Forecast,1.13924649967621,1.1,0,0
5,Forecast,1.07717638493928,1,0,0.1
5,Forecast,1.0310022526038,0.8,0,0.2
5,Forecast,0.996966085775518,0.9,0,0.1
6,Forecast,2.46152155790074,2.1,0,0.4
6,Forecast,2.45569257283779,2.1,0,0.4
6,Forecast,2.45176809599072,2.1,0,0.4
6,Forecast,2.44809080891705,1.9,-0.610645959048202,0.5
7,Forecast,1.07359774177151,0.7,-0.00100050033358353,0.4
7,Forecast,1.01780862597376,0.6,-0.00501254182354429,0.4
7,Forecast,0.841352897744613,0.3,-0.450985623409974,0.5
7,Forecast,0.64580242367608,0.4,0,0.2
8,Forecast,0.895157467100224,0.8,0,0.1
8,Forecast,0.821356991350436,0.7,0,0.1
8,Forecast,0.762434470055799,0.7,0,0.1
8,Forecast,0.715697139930357,0.7,0,0
9,Forecast,1.4926718748579,1.5,0,0
9,Forecast,1.47660404430061,1.5,0,0
9,Forecast,1.4652643983321,1.4,0,0.1
9,Forecast,1.45244854695012,1.3,0,0.2
10,Forecast,0.722266632464635,0.5,0,0.2
10,Forecast,0.659219404753115,0.5,0,0.2
10,Forecast,0.611160986823653,0.2,0,0.4
10,Forecast,0.574906279345425,0.2,0,0.4
