"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week","50.0","52.00000","-3.257428793","2.00000"
" 2","Start week","47.0","47.00000"," 0.000000000","0.00000"
" 3","Start week","50.0","51.00000","-0.217506234","1.00000"
" 4","Start week","45.0","44.00000"," 0.000000000","1.00000"
" 5","Start week","50.0","52.00000","-4.044729410","2.00000"
" 6","Start week","51.0","52.00000","-2.682331846","1.00000"
" 7","Start week","49.0","52.00000","-2.983856331","3.00000"
" 8","Start week","50.0","51.00000","-0.182497053","1.00000"
" 9","Start week","50.0","51.00000","-0.706582159","1.00000"
"10","Start week","49.0","50.00000","-0.296344906","1.00000"
" 1","Peak week"," 4.0"," 2.00000","-2.606166388","2.00000"
" 2","Peak week","51.0"," 2.00000","-1.984739571","3.00000"
" 3","Peak week"," 4.0"," 2.00000","-1.368849655","2.00000"
" 4","Peak week"," 5.0","52.00000","-3.493725639","5.00000"
" 5","Peak week"," 4.0","52.00000","-4.967172254","4.00000"
" 6","Peak week"," 3.0"," 2.00000","-0.838084543","1.00000"
" 7","Peak week"," 4.0"," 2.00000","-2.333548188","2.00000"
" 8","Peak week"," 4.0"," 1.00000","-3.081553473","3.00000"
" 9","Peak week"," 3.0","52.00000","-3.902375311","3.00000"
"10","Peak week"," 3.0","52.00000","-5.027825914","3.00000"
" 1","Peak intensity"," 3.3"," 1.60022","-2.626216302","1.69978"
" 2","Peak intensity"," 3.8"," 6.01519","-2.681585160","2.21519"
" 3","Peak intensity"," 4.2"," 3.52219","-1.546811426","0.67781"
" 4","Peak intensity"," 4.9"," 3.41252","-2.678224659","1.48748"
" 5","Peak intensity"," 3.4"," 2.44515","-1.675642126","0.95485"
" 6","Peak intensity"," 7.3"," 4.76506","-3.213686388","2.53494"
" 7","Peak intensity"," 6.0"," 3.53388","-2.123334114","2.46612"
" 8","Peak intensity"," 2.8"," 2.18472","-1.234276453","0.61528"
" 9","Peak intensity"," 5.2"," 3.29923","-2.821782528","1.90077"
"10","Peak intensity"," 2.8"," 3.91294","-2.611040446","1.11294"
" 1","Forecast"," 1.5"," 1.05749","-0.020603455","0.44251"
" 1","Forecast"," 1.8"," 1.22677","-0.949278342","0.57323"
" 1","Forecast"," 2.2"," 1.43562","-1.484419174","0.76438"
" 1","Forecast"," 2.6"," 1.59394","-1.485909475","1.00606"
" 2","Forecast"," 3.7"," 3.41741","-0.176180470","0.28259"
" 2","Forecast"," 3.8"," 4.79409","-1.292276856","0.99409"
" 2","Forecast"," 3.6"," 5.70022","-1.901726099","2.10022"
" 2","Forecast"," 3.4"," 5.90329","-2.281462611","2.50329"
" 3","Forecast"," 2.2"," 1.93793","-0.011361274","0.26207"
" 3","Forecast"," 2.6"," 2.24906","-0.115642505","0.35094"
" 3","Forecast"," 3.0"," 3.14469","-0.193693319","0.14469"
" 3","Forecast"," 3.5"," 2.83603","-1.710113092","0.66397"
" 4","Forecast"," 3.1"," 2.40461","-1.102354688","0.69539"
" 4","Forecast"," 3.3"," 3.13761","-0.265479777","0.16239"
" 4","Forecast"," 3.6"," 3.41252","-0.271738059","0.18748"
" 4","Forecast"," 3.8"," 3.01167","-3.047003078","0.78833"
" 5","Forecast"," 1.9"," 1.54874","-0.430382614","0.35126"
" 5","Forecast"," 2.2"," 1.72547","-1.214355510","0.47453"
" 5","Forecast"," 2.1"," 2.44515","-0.311351838","0.34515"
" 5","Forecast"," 2.2"," 2.11850","-0.452088251","0.08150"
" 6","Forecast"," 3.7"," 3.37317","-0.248326878","0.32683"
" 6","Forecast"," 4.5"," 3.85352","-1.031752035","0.64648"
" 6","Forecast"," 5.3"," 4.21337","-1.740533998","1.08663"
" 6","Forecast"," 6.2"," 4.15649","-1.544015770","2.04351"
" 7","Forecast"," 2.4"," 1.30936","-1.049554189","1.09064"
" 7","Forecast"," 3.1"," 1.79673","-1.240189020","1.30327"
" 7","Forecast"," 3.8"," 2.71380","-1.611079018","1.08620"
" 7","Forecast"," 4.6"," 3.03072","-1.789971585","1.56928"
" 8","Forecast"," 1.4"," 1.29349","-0.006941935","0.10651"
" 8","Forecast"," 1.7"," 2.06926","-0.180825289","0.36926"
" 8","Forecast"," 1.9"," 1.47093","-0.647507224","0.42907"
" 8","Forecast"," 2.2"," 2.18472","-0.223402762","0.01528"
" 9","Forecast"," 3.0"," 2.24467","-0.964492197","0.75533"
" 9","Forecast"," 3.6"," 2.68153","-1.426338842","0.91847"
" 9","Forecast"," 4.3"," 3.29923","-1.547384029","1.00077"
" 9","Forecast"," 4.8"," 3.01539","-1.998401600","1.78461"
"10","Forecast"," 1.4"," 1.52489","-0.232461477","0.12489"
"10","Forecast"," 1.8"," 2.09336","-0.301930731","0.29336"
"10","Forecast"," 2.1"," 3.91294","-4.444579095","1.81294"
"10","Forecast"," 2.5"," 3.18632","-2.756303923","0.68632"
