"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week","50.0","52.000000","-2.8101362005","2.000000"
" 2","Start week","46.0","47.000000","-0.0304592075","1.000000"
" 3","Start week","50.0","51.000000","-0.8246019765","1.000000"
" 4","Start week","45.0","44.000000"," 0.0000000000","1.000000"
" 5","Start week","51.0","52.000000","-4.7940155768","1.000000"
" 6","Start week","50.0","52.000000","-2.8138769588","2.000000"
" 7","Start week","48.0","52.000000","-2.7133827589","4.000000"
" 8","Start week","49.0","51.000000","-1.0021681430","2.000000"
" 9","Start week","50.0","51.000000","-0.5209309224","1.000000"
"10","Start week","48.0","50.000000","-1.7441596018","2.000000"
" 1","Peak week"," 4.0"," 2.000000","-1.7920506776","2.000000"
" 2","Peak week","52.0"," 2.000000","-1.2814998492","2.000000"
" 3","Peak week"," 3.0"," 2.000000","-0.4896373964","1.000000"
" 4","Peak week"," 2.0","52.000000","-2.7650674778","2.000000"
" 5","Peak week"," 5.0","52.000000","-5.6704613414","5.000000"
" 6","Peak week"," 4.0"," 2.000000","-1.3436096239","2.000000"
" 7","Peak week"," 4.0"," 2.000000","-1.4875853950","2.000000"
" 8","Peak week"," 3.0"," 1.000000","-4.1379927341","2.000000"
" 9","Peak week"," 3.0","52.000000","-3.9078782568","3.000000"
"10","Peak week"," 2.0","52.000000","-4.5220131943","2.000000"
" 1","Peak intensity"," 3.4"," 1.600220","-2.1154409171","1.799780"
" 2","Peak intensity"," 7.3"," 6.015190","-2.3970731289","1.284810"
" 3","Peak intensity"," 4.5"," 3.522190","-2.6288873635","0.977810"
" 4","Peak intensity"," 5.6"," 3.412520","-2.2197354239","2.187480"
" 5","Peak intensity"," 3.8"," 2.445150","-2.3514588432","1.354850"
" 6","Peak intensity"," 7.4"," 4.765060","-3.2181089940","2.634940"
" 7","Peak intensity"," 7.2"," 3.533880","-1.7809755651","3.666120"
" 8","Peak intensity"," 3.4"," 2.184720","-2.2301571534","1.215280"
" 9","Peak intensity"," 5.2"," 3.299230","-2.8225754852","1.900770"
"10","Peak intensity"," 3.2"," 3.912940","-1.4641667952","0.712940"
" 1","Forecast"," 1.3"," 1.010090","-0.0005789726","0.289910"
" 1","Forecast"," 1.6"," 1.057490","-0.3981040900","0.542510"
" 1","Forecast"," 2.0"," 1.226770","-1.2804880804","0.773230"
" 1","Forecast"," 2.4"," 1.435620","-1.4223202130","0.964380"
" 2","Forecast"," 5.2"," 3.492650","-0.6902852079","1.707350"
" 2","Forecast"," 6.3"," 3.417410","-1.1268352078","2.882590"
" 2","Forecast"," 7.1"," 4.794090","-1.1994734284","2.305910"
" 2","Forecast"," 7.2"," 5.700220","-1.6425891474","1.499780"
" 3","Forecast"," 2.2"," 1.639590","-0.5766185473","0.560410"
" 3","Forecast"," 2.6"," 1.937930","-0.8121698735","0.662070"
" 3","Forecast"," 3.1"," 2.249060","-1.1264590487","0.850940"
" 3","Forecast"," 3.6"," 3.144690","-0.6966350923","0.455310"
" 4","Forecast"," 3.9"," 1.974330","-0.9289553887","1.925670"
" 4","Forecast"," 4.5"," 2.404610","-1.2856112776","2.095390"
" 4","Forecast"," 5.1"," 3.137610","-1.7221986646","1.962390"
" 4","Forecast"," 5.4"," 3.412520","-1.8176350081","1.987480"
" 5","Forecast"," 1.3"," 1.481880","-0.0250625606","0.181880"
" 5","Forecast"," 1.7"," 1.548740","-0.0692481519","0.151260"
" 5","Forecast"," 2.0"," 1.725470","-0.3612268424","0.274530"
" 5","Forecast"," 1.9"," 2.445150","-0.5321795513","0.545150"
" 6","Forecast"," 3.5"," 2.841930","-1.3910080250","0.658070"
" 6","Forecast"," 4.6"," 3.373170","-1.9449201313","1.226830"
" 6","Forecast"," 5.5"," 3.853520","-2.1093961342","1.646480"
" 6","Forecast"," 5.5"," 4.213370","-2.3103984278","1.286630"
" 7","Forecast"," 2.5"," 1.255760","-0.4407168391","1.244240"
" 7","Forecast"," 3.2"," 1.309360","-1.5965915415","1.890640"
" 7","Forecast"," 4.0"," 1.796730","-1.6427002564","2.203270"
" 7","Forecast"," 5.0"," 2.713800","-1.3751287690","2.286200"
" 8","Forecast"," 1.4"," 1.145530","-0.0220022245","0.254470"
" 8","Forecast"," 1.7"," 1.293490","-0.2104308413","0.406510"
" 8","Forecast"," 2.1"," 2.069260","-0.1140753531","0.030740"
" 8","Forecast"," 2.5"," 1.470930","-3.0207400168","1.029070"
" 9","Forecast"," 2.2"," 2.102070","-0.5321373353","0.097930"
" 9","Forecast"," 2.6"," 2.244670","-0.5176791439","0.355330"
" 9","Forecast"," 3.1"," 2.681530","-0.5858367598","0.418470"
" 9","Forecast"," 3.7"," 3.299230","-0.6282549251","0.400770"
"10","Forecast"," 1.5"," 0.699567","-1.0095847141","0.800433"
"10","Forecast"," 1.9"," 1.524890","-0.2989950286","0.375110"
"10","Forecast"," 2.3"," 2.093360","-0.4107857798","0.206640"
"10","Forecast"," 2.7"," 3.912940","-3.0054798472","1.212940"
