"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week"," 2.0","52.00000"," -2.50459270","2.00000"
" 2","Start week","47.0","47.00000","  0.00000000","0.00000"
" 3","Start week","52.0","51.00000"," -0.51082562","1.00000"
" 4","Start week","45.0","44.00000","  0.00000000","1.00000"
" 5","Start week"," 2.0","52.00000"," -3.88444558","2.00000"
" 6","Start week"," 3.0","52.00000","-10.00000000","3.00000"
" 7","Start week","52.0","52.00000","-10.00000000","0.00000"
" 8","Start week","51.0","51.00000"," -0.10536052","0.00000"
" 9","Start week","49.0","51.00000"," -0.10536052","2.00000"
"10","Start week","49.0","50.00000"," -0.10536052","1.00000"
" 1","Peak week"," 6.0"," 2.00000"," -3.36159005","4.00000"
" 2","Peak week"," 5.0"," 2.00000"," -2.75077623","3.00000"
" 3","Peak week"," 5.0"," 2.00000"," -3.01431980","3.00000"
" 4","Peak week"," 6.0","52.00000"," -4.14272033","6.00000"
" 5","Peak week"," 7.0","52.00000"," -4.92578352","7.00000"
" 6","Peak week"," 6.0"," 2.00000"," -2.94704002","4.00000"
" 7","Peak week"," 5.0"," 2.00000"," -2.99180842","3.00000"
" 8","Peak week"," 7.0"," 1.00000"," -4.48067824","6.00000"
" 9","Peak week"," 6.0","52.00000"," -5.47609351","6.00000"
"10","Peak week"," 4.0","52.00000"," -5.00431118","4.00000"
" 1","Peak intensity"," 2.3"," 1.60022"," -1.68967500","0.69978"
" 2","Peak intensity"," 5.9"," 6.01519"," -0.40209527","0.11519"
" 3","Peak intensity"," 3.8"," 3.52219"," -0.24593993","0.27781"
" 4","Peak intensity"," 3.0"," 3.41252"," -0.48912063","0.41252"
" 5","Peak intensity"," 2.7"," 2.44515"," -0.31269793","0.25485"
" 6","Peak intensity"," 5.3"," 4.76506"," -0.75630144","0.53494"
" 7","Peak intensity"," 3.4"," 3.53388"," -0.22761635","0.13388"
" 8","Peak intensity"," 3.1"," 2.18472"," -2.53259299","0.91528"
" 9","Peak intensity"," 3.8"," 3.29923"," -0.65339191","0.50077"
"10","Peak intensity"," 3.9"," 3.91294"," -0.56008538","0.01294"
" 1","Forecast"," 1.2"," 1.43562"," -0.01988845","0.23562"
" 1","Forecast"," 1.4"," 1.59394"," -0.01985533","0.19394"
" 1","Forecast"," 1.6"," 1.60022"," -0.07196929","0.00022"
" 1","Forecast"," 1.8"," 0.00000",NA,NA
" 2","Forecast"," 4.5"," 5.70022"," -2.07638028","1.20022"
" 2","Forecast"," 4.9"," 5.90329"," -1.87330118","1.00329"
" 2","Forecast"," 5.3"," 6.01519"," -1.19727356","0.71519"
" 2","Forecast"," 5.5"," 0.00000",NA,NA
" 3","Forecast"," 2.3"," 3.14469"," -2.09262767","0.84469"
" 3","Forecast"," 2.7"," 2.83603"," -0.12070300","0.13603"
" 3","Forecast"," 3.1"," 3.52219"," -0.43315169","0.42219"
" 3","Forecast"," 3.4"," 0.00000",NA,NA
" 4","Forecast"," 2.3"," 3.41252"," -2.43680883","1.11252"
" 4","Forecast"," 2.2"," 3.01167"," -2.15106755","0.81167"
" 4","Forecast"," 2.4"," 2.90646"," -0.62111374","0.50646"
" 4","Forecast"," 2.6"," 0.00000",NA,NA
" 5","Forecast"," 1.7"," 2.44515"," -0.93445240","0.74515"
" 5","Forecast"," 1.7"," 2.11850"," -0.44572976","0.41850"
" 5","Forecast"," 1.9"," 2.15408"," -0.20830058","0.25408"
" 5","Forecast"," 2.1"," 0.00000",NA,NA
" 6","Forecast"," 3.5"," 4.21337"," -1.34914101","0.71337"
" 6","Forecast"," 3.5"," 4.15649"," -1.24740882","0.65649"
" 6","Forecast"," 4.0"," 4.76506"," -1.40849519","0.76506"
" 6","Forecast"," 4.4"," 0.00000",NA,NA
" 7","Forecast"," 1.9"," 2.71380"," -1.65717757","0.81380"
" 7","Forecast"," 2.3"," 3.03072"," -1.63047297","0.73072"
" 7","Forecast"," 2.7"," 3.53388"," -2.25270000","0.83388"
" 7","Forecast"," 3.1"," 0.00000",NA,NA
" 8","Forecast"," 1.6"," 1.47093"," -0.18106261","0.12907"
" 8","Forecast"," 1.9"," 2.18472"," -0.22315162","0.28472"
" 8","Forecast"," 2.2"," 1.98812"," -0.20136794","0.21188"
" 8","Forecast"," 2.5"," 0.00000",NA,NA
" 9","Forecast"," 2.9"," 3.29923"," -0.45935361","0.39923"
" 9","Forecast"," 3.0"," 3.01539"," -0.16101651","0.01539"
" 9","Forecast"," 3.2"," 2.95889"," -0.23094480","0.24111"
" 9","Forecast"," 3.4"," 0.00000",NA,NA
"10","Forecast"," 2.4"," 3.91294"," -3.11973941","1.51294"
"10","Forecast"," 2.9"," 3.18632"," -0.27434653","0.28632"
"10","Forecast"," 3.3"," 2.18709"," -2.11372107","1.11291"
"10","Forecast"," 3.7"," 0.00000",NA,NA
