"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week"," 1.0","52.00000"," -1.959878452","1.00000"
" 2","Start week","47.0","47.00000","  0.000000000","0.00000"
" 3","Start week","49.0","51.00000"," -0.105360516","2.00000"
" 4","Start week","45.0","44.00000","  0.000000000","1.00000"
" 5","Start week"," 2.0","52.00000"," -2.363148740","2.00000"
" 6","Start week"," 2.0","52.00000"," -1.831846265","2.00000"
" 7","Start week","52.0","52.00000"," -2.205472802","0.00000"
" 8","Start week","52.0","51.00000"," -0.105360516","1.00000"
" 9","Start week","50.0","51.00000"," -0.105360516","1.00000"
"10","Start week","49.0","50.00000"," -0.510825624","1.00000"
" 1","Peak week"," 6.0"," 2.00000"," -3.665531472","4.00000"
" 2","Peak week"," 6.0"," 2.00000"," -3.533746240","4.00000"
" 3","Peak week"," 6.0"," 2.00000"," -3.746856933","4.00000"
" 4","Peak week"," 6.0","52.00000"," -4.538034291","6.00000"
" 5","Peak week"," 6.0","52.00000"," -5.644052936","6.00000"
" 6","Peak week"," 6.0"," 2.00000"," -3.681377266","4.00000"
" 7","Peak week"," 5.0"," 2.00000"," -3.844870326","3.00000"
" 8","Peak week"," 6.0"," 1.00000"," -4.510889991","5.00000"
" 9","Peak week"," 7.0","52.00000"," -5.499803150","7.00000"
"10","Peak week"," 7.0","52.00000","-10.000000000","7.00000"
" 1","Peak intensity"," 2.5"," 1.60022"," -2.766525334","0.89978"
" 2","Peak intensity"," 5.2"," 6.01519"," -1.431578618","0.81519"
" 3","Peak intensity"," 3.5"," 3.52219"," -0.253661130","0.02219"
" 4","Peak intensity"," 3.2"," 3.41252"," -0.142825959","0.21252"
" 5","Peak intensity"," 2.7"," 2.44515"," -0.216262027","0.25485"
" 6","Peak intensity"," 5.5"," 4.76506"," -0.989630088","0.73494"
" 7","Peak intensity"," 3.2"," 3.53388"," -0.226621775","0.33388"
" 8","Peak intensity"," 2.7"," 2.18472"," -0.499213244","0.51528"
" 9","Peak intensity"," 4.0"," 3.29923"," -1.142833589","0.70077"
"10","Peak intensity"," 3.4"," 3.91294"," -0.944175935","0.51294"
" 1","Forecast"," 1.1"," 1.22677"," -0.007354748","0.12677"
" 1","Forecast"," 1.3"," 1.43562"," -0.031959296","0.13562"
" 1","Forecast"," 1.5"," 1.59394"," -0.010775645","0.09394"
" 1","Forecast"," 1.7"," 1.60022"," -0.046530796","0.09978"
" 2","Forecast"," 4.2"," 4.79409"," -0.957342768","0.59409"
" 2","Forecast"," 3.6"," 5.70022"," -3.916467819","2.10022"
" 2","Forecast"," 3.5"," 5.90329"," -4.916582268","2.40329"
" 2","Forecast"," 3.9"," 6.01519"," -5.135488395","2.11519"
" 3","Forecast"," 2.7"," 2.24906"," -0.545314084","0.45094"
" 3","Forecast"," 2.4"," 3.14469"," -1.433674560","0.74469"
" 3","Forecast"," 2.3"," 2.83603"," -0.465620045","0.53603"
" 3","Forecast"," 2.7"," 3.52219"," -1.717857352","0.82219"
" 4","Forecast"," 2.7"," 3.13761"," -0.244210485","0.43761"
" 4","Forecast"," 2.5"," 3.41252"," -2.544034848","0.91252"
" 4","Forecast"," 2.4"," 3.01167"," -1.210345930","0.61167"
" 4","Forecast"," 2.6"," 2.90646"," -0.252397567","0.30646"
" 5","Forecast"," 2.1"," 1.72547"," -0.150321950","0.37453"
" 5","Forecast"," 1.8"," 2.44515"," -0.847047811","0.64515"
" 5","Forecast"," 1.8"," 2.11850"," -0.163569145","0.31850"
" 5","Forecast"," 2.0"," 2.15408"," -0.084513043","0.15408"
" 6","Forecast"," 3.9"," 3.85352"," -0.161814317","0.04648"
" 6","Forecast"," 3.6"," 4.21337"," -0.842335472","0.61337"
" 6","Forecast"," 3.6"," 4.15649"," -0.819871776","0.55649"
" 6","Forecast"," 4.1"," 4.76506"," -1.093868425","0.66506"
" 7","Forecast"," 1.7"," 1.79673"," -0.084657846","0.09673"
" 7","Forecast"," 1.9"," 2.71380"," -2.338256137","0.81380"
" 7","Forecast"," 2.1"," 3.03072"," -2.069278806","0.93072"
" 7","Forecast"," 2.5"," 3.53388"," -2.857244482","1.03388"
" 8","Forecast"," 1.3"," 2.06926"," -1.744229619","0.76926"
" 8","Forecast"," 1.5"," 1.47093"," -0.150184929","0.02907"
" 8","Forecast"," 1.7"," 2.18472"," -0.402595699","0.48472"
" 8","Forecast"," 2.0"," 1.98812"," -0.043940806","0.01188"
" 9","Forecast"," 2.9"," 2.68153"," -0.125502720","0.21847"
" 9","Forecast"," 2.9"," 3.29923"," -0.318731447","0.39923"
" 9","Forecast"," 2.9"," 3.01539"," -0.126176462","0.11539"
" 9","Forecast"," 3.2"," 2.95889"," -0.186971256","0.24111"
"10","Forecast"," 2.0"," 2.09336"," -0.390084006","0.09336"
"10","Forecast"," 1.4"," 3.91294"," -5.521460918","2.51294"
"10","Forecast"," 1.6"," 3.18632"," -3.442019376","1.58632"
"10","Forecast"," 2.2"," 2.18709"," -0.373966441","0.01291"
