"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week","50.0","52.000000"," -3.816712826","2.000000"
" 2","Start week",NA,"47.000000"," -6.907755279",NA
" 3","Start week","48.0","51.000000"," -2.171556831","3.000000"
" 4","Start week","44.0","44.000000"," -0.188742125","0.000000"
" 5","Start week","45.0","52.000000","-10.000000000","7.000000"
" 6","Start week","48.0","52.000000","-10.000000000","4.000000"
" 7","Start week","46.0","52.000000","-10.000000000","6.000000"
" 8","Start week","47.0","51.000000"," -6.214608098","4.000000"
" 9","Start week","50.0","51.000000"," -0.252314929","1.000000"
"10","Start week","50.0","50.000000"," -0.054456186","0.000000"
" 1","Peak week"," 2.0"," 2.000000"," -0.729811165","0.000000"
" 2","Peak week"," 5.0"," 2.000000","-10.000000000","3.000000"
" 3","Peak week"," 1.0"," 2.000000"," -0.529329095","1.000000"
" 4","Peak week"," 2.0","52.000000"," -1.917322692","2.000000"
" 5","Peak week","49.0","52.000000","-10.000000000","3.000000"
" 6","Peak week"," 1.0"," 2.000000"," -0.578034373","1.000000"
" 7","Peak week"," 1.0"," 2.000000"," -0.252314929","1.000000"
" 8","Peak week","52.0"," 1.000000"," -1.171182982","1.000000"
" 9","Peak week"," 3.0","52.000000","-10.000000000","3.000000"
"10","Peak week"," 6.0","52.000000","-10.000000000","6.000000"
" 1","Peak intensity"," 3.2"," 1.600220"," -1.671313316","1.599780"
" 2","Peak intensity"," 3.2"," 6.015190"," -6.214608098","2.815190"
" 3","Peak intensity"," 5.2"," 3.522190"," -1.814005078","1.677810"
" 4","Peak intensity"," 4.5"," 3.412520"," -2.407945609","1.087480"
" 5","Peak intensity"," 3.3"," 2.445150"," -6.907755279","0.854850"
" 6","Peak intensity"," 8.7"," 4.765060","-10.000000000","3.934940"
" 7","Peak intensity"," 8.7"," 3.533880","-10.000000000","5.166120"
" 8","Peak intensity"," 2.9"," 2.184720"," -1.044124103","0.715280"
" 9","Peak intensity"," 5.2"," 3.299230","-10.000000000","1.900770"
"10","Peak intensity"," 3.8"," 3.912940"," -0.103140759","0.112940"
" 1","Forecast"," 0.8"," 0.915791","  0.000000000","0.115791"
" 1","Forecast"," 0.9"," 0.953252","  0.000000000","0.053252"
" 1","Forecast"," 1.0"," 0.985975"," -0.003004509","0.014025"
" 1","Forecast"," 1.2"," 0.936117"," -0.112049504","0.263883"
" 2","Forecast"," 2.7"," 2.474190","  0.000000000","0.225810"
" 2","Forecast"," 2.8"," 2.535010"," -0.025317808","0.264990"
" 2","Forecast"," 2.7"," 3.294110"," -0.978166136","0.594110"
" 2","Forecast"," 2.5"," 3.269300"," -2.476938480","0.769300"
" 3","Forecast"," 1.3"," 1.433300","  0.000000000","0.133300"
" 3","Forecast"," 1.5"," 1.458990"," -0.003004509","0.041010"
" 3","Forecast"," 1.8"," 1.769140"," -0.026343975","0.030860"
" 3","Forecast"," 2.3"," 1.498550"," -1.187443502","0.801450"
" 4","Forecast"," 1.8"," 1.794380","  0.000000000","0.005620"
" 4","Forecast"," 1.9"," 2.061580"," -0.186329578","0.161580"
" 4","Forecast"," 2.1"," 2.337480"," -0.040821995","0.237480"
" 4","Forecast"," 2.2"," 2.070030","  0.000000000","0.129970"
" 5","Forecast"," 2.2"," 1.241520","-10.000000000","0.958480"
" 5","Forecast"," 2.8"," 1.222200","-10.000000000","1.577800"
" 5","Forecast"," 3.1"," 1.276010","-10.000000000","1.823990"
" 5","Forecast"," 3.2"," 1.237260","-10.000000000","1.962740"
" 6","Forecast"," 2.4"," 2.052630"," -0.002002003","0.347370"
" 6","Forecast"," 2.9"," 2.247530"," -2.577021939","0.652470"
" 6","Forecast"," 3.6"," 2.482920","-10.000000000","1.117080"
" 6","Forecast"," 4.5"," 2.436530","-10.000000000","2.063470"
" 7","Forecast"," 1.6"," 0.928632"," -4.342805922","0.671368"
" 7","Forecast"," 2.2"," 0.980941","-10.000000000","1.219059"
" 7","Forecast"," 3.0"," 1.440150","-10.000000000","1.559850"
" 7","Forecast"," 4.0"," 1.455090","-10.000000000","2.544910"
" 8","Forecast"," 1.0"," 0.748828","  0.000000000","0.251172"
" 8","Forecast"," 1.2"," 0.902311"," -0.002002003","0.297689"
" 8","Forecast"," 1.4"," 0.789586"," -1.005121946","0.610414"
" 8","Forecast"," 1.7"," 1.264560"," -0.309246250","0.435440"
" 9","Forecast"," 1.4"," 1.668860","  0.000000000","0.268860"
" 9","Forecast"," 1.5"," 1.727650","  0.000000000","0.227650"
" 9","Forecast"," 1.7"," 2.037430"," -0.013085240","0.337430"
" 9","Forecast"," 1.9"," 1.924620"," -0.001000500","0.024620"
"10","Forecast"," 0.5"," 0.732252","  0.000000000","0.232252"
"10","Forecast"," 0.6"," 0.653724","  0.000000000","0.053724"
"10","Forecast"," 0.7"," 0.808109","  0.000000000","0.108109"
"10","Forecast"," 0.8"," 0.781675","  0.000000000","0.018325"
