"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week","47.0","52.000000","-2.875243e+00","5.000000"
" 2","Start week","49.0","47.000000","-1.639545e+00","2.000000"
" 3","Start week"," 1.0","51.000000","-1.106091e+00","2.000000"
" 4","Start week","46.0","44.000000","-4.297661e+00","2.000000"
" 5","Start week","46.0","52.000000","-2.923387e+00","6.000000"
" 6","Start week","50.0","52.000000","-2.289383e+00","2.000000"
" 7","Start week","46.0","52.000000","-2.799958e+00","6.000000"
" 8","Start week","49.0","51.000000","-1.927218e+00","2.000000"
" 9","Start week","51.0","51.000000","-5.297273e-01","0.000000"
"10","Start week","47.0","50.000000","-2.429767e+00","3.000000"
" 1","Peak week"," 1.0"," 2.000000","-5.945176e-01","1.000000"
" 2","Peak week"," 5.0"," 2.000000","-2.600585e+00","3.000000"
" 3","Peak week"," 6.0"," 2.000000","-2.199325e+00","4.000000"
" 4","Peak week"," 5.0","52.000000","-4.337617e+00","5.000000"
" 5","Peak week","51.0","52.000000","-3.733675e+00","1.000000"
" 6","Peak week"," 2.0"," 2.000000","-5.675309e-01","0.000000"
" 7","Peak week","50.0"," 2.000000","-2.019054e+00","4.000000"
" 8","Peak week"," 1.0"," 1.000000","-1.403240e+00","0.000000"
" 9","Peak week"," 4.0","52.000000","-3.911008e+00","4.000000"
"10","Peak week"," 2.0","52.000000","-4.526467e+00","2.000000"
" 1","Peak intensity"," 4.2"," 1.600220","-2.105805e+00","2.599780"
" 2","Peak intensity"," 4.5"," 6.015190","-2.010531e+00","1.515190"
" 3","Peak intensity"," 3.7"," 3.522190","-6.030626e-01","0.177810"
" 4","Peak intensity"," 4.3"," 3.412520","-1.397550e+00","0.887480"
" 5","Peak intensity"," 3.4"," 2.445150","-2.246255e+00","0.954850"
" 6","Peak intensity"," 6.0"," 4.765060","-1.948635e+00","1.234940"
" 7","Peak intensity"," 6.3"," 3.533880","-1.805179e+00","2.766120"
" 8","Peak intensity"," 2.8"," 2.184720","-9.098274e-01","0.615280"
" 9","Peak intensity"," 4.8"," 3.299230","-2.824298e+00","1.500770"
"10","Peak intensity"," 4.1"," 3.912940","-5.762831e-01","0.187060"
" 1","Forecast"," 1.6"," 0.985975","-3.668049e-01","0.614025"
" 1","Forecast"," 2.0"," 0.936117","-7.177619e-01","1.063883"
" 1","Forecast"," 2.5"," 1.010090","-7.625730e-01","1.489910"
" 1","Forecast"," 3.1"," 1.057490","-9.460052e-01","2.042510"
" 2","Forecast"," 3.1"," 3.294110","-2.740906e-02","0.194110"
" 2","Forecast"," 2.9"," 3.269300","-6.443178e-01","0.369300"
" 2","Forecast"," 3.0"," 3.492650","-5.397951e-01","0.492650"
" 2","Forecast"," 3.4"," 3.417410","-3.234409e-01","0.017410"
" 3","Forecast"," 1.3"," 1.769140","-3.939124e-01","0.469140"
" 3","Forecast"," 1.4"," 1.498550","-1.106181e-01","0.098550"
" 3","Forecast"," 1.5"," 1.639590","-2.422528e-01","0.139590"
" 3","Forecast"," 1.6"," 1.937930","-4.191949e-01","0.337930"
" 4","Forecast"," 2.3"," 2.337480","-7.771561e-16","0.037480"
" 4","Forecast"," 2.5"," 2.070030","-1.163002e-01","0.429970"
" 4","Forecast"," 2.8"," 1.974330","-1.516775e+00","0.825670"
" 4","Forecast"," 3.0"," 2.404610","-9.423544e-01","0.595390"
" 5","Forecast"," 2.3"," 1.276010","-3.566886e-01","1.023990"
" 5","Forecast"," 2.7"," 1.237260","-3.837480e-01","1.462740"
" 5","Forecast"," 3.1"," 1.481880","-9.255823e-01","1.618120"
" 5","Forecast"," 3.4"," 1.548740","-1.085519e+00","1.851260"
" 6","Forecast"," 2.2"," 2.482920","-1.477668e-01","0.282920"
" 6","Forecast"," 2.6"," 2.436530","-2.986774e-01","0.163470"
" 6","Forecast"," 3.3"," 2.841930","-8.020043e-01","0.458070"
" 6","Forecast"," 4.0"," 3.373170","-1.016256e+00","0.626830"
" 7","Forecast"," 3.3"," 1.440150","-1.408874e+00","1.859850"
" 7","Forecast"," 4.6"," 1.455090","-2.090118e+00","3.144910"
" 7","Forecast"," 5.8"," 1.255760","-1.588151e+00","4.544240"
" 7","Forecast"," 6.3"," 1.309360","-1.356299e+00","4.990640"
" 8","Forecast"," 1.1"," 0.789586","-7.412808e-02","0.310414"
" 8","Forecast"," 1.4"," 1.264560","-1.610274e-02","0.135440"
" 8","Forecast"," 1.6"," 1.145530","-6.332770e-01","0.454470"
" 8","Forecast"," 2.0"," 1.293490","-1.152438e+00","0.706510"
" 9","Forecast"," 1.5"," 2.037430","-7.146652e-01","0.537430"
" 9","Forecast"," 1.6"," 1.924620","-4.817799e-01","0.324620"
" 9","Forecast"," 1.8"," 2.102070","-5.080599e-01","0.302070"
" 9","Forecast"," 2.2"," 2.244670","-4.533074e-01","0.044670"
"10","Forecast"," 1.1"," 0.808109","-1.842533e-01","0.291891"
"10","Forecast"," 1.4"," 0.781675","-8.022154e-01","0.618325"
"10","Forecast"," 1.9"," 0.699567","-1.150054e+00","1.200433"
"10","Forecast"," 2.4"," 1.524890","-1.765793e+00","0.875110"
