"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week","48.0","52.000000","-2.85082037","4.000000"
" 2","Start week","46.0","47.000000","-1.61503238","1.000000"
" 3","Start week","50.0","51.000000","-0.43381208","1.000000"
" 4","Start week","46.0","44.000000","-2.37515579","2.000000"
" 5","Start week","48.0","52.000000","-2.89118790","4.000000"
" 6","Start week","49.0","52.000000","-2.58563582","3.000000"
" 7","Start week","48.0","52.000000","-3.09978363","4.000000"
" 8","Start week","50.0","51.000000","-0.64016951","1.000000"
" 9","Start week","52.0","51.000000","-0.28359386","1.000000"
"10","Start week","47.0","50.000000","-2.40378984","3.000000"
" 1","Peak week"," 2.0"," 2.000000","-0.53799214","0.000000"
" 2","Peak week","51.0"," 2.000000","-1.72860568","3.000000"
" 3","Peak week"," 3.0"," 2.000000","-0.97654246","1.000000"
" 4","Peak week","51.0","52.000000","-2.87417494","1.000000"
" 5","Peak week"," 1.0","52.000000","-1.76247808","1.000000"
" 6","Peak week"," 1.0"," 2.000000","-0.93249569","1.000000"
" 7","Peak week"," 3.0"," 2.000000","-0.51899999","1.000000"
" 8","Peak week"," 3.0"," 1.000000","-2.87538335","2.000000"
" 9","Peak week"," 5.0","52.000000","-4.42094093","5.000000"
"10","Peak week"," 2.0","52.000000","-4.52492751","2.000000"
" 1","Peak intensity"," 3.9"," 1.600220","-2.11544092","2.299780"
" 2","Peak intensity"," 8.1"," 6.015190","-2.39707310","2.084810"
" 3","Peak intensity"," 4.3"," 3.522190","-2.28434540","0.777810"
" 4","Peak intensity"," 5.6"," 3.412520","-2.21244684","2.187480"
" 5","Peak intensity"," 4.1"," 2.445150","-2.24625494","1.654850"
" 6","Peak intensity"," 7.5"," 4.765060","-2.86125842","2.734940"
" 7","Peak intensity"," 6.6"," 3.533880","-2.12333411","3.066120"
" 8","Peak intensity"," 2.5"," 2.184720","-0.58142260","0.315280"
" 9","Peak intensity"," 4.8"," 3.299230","-3.33512710","1.500770"
"10","Peak intensity"," 4.0"," 3.912940","-0.58099180","0.087060"
" 1","Forecast"," 1.6"," 0.936117","-0.68697109","0.663883"
" 1","Forecast"," 2.0"," 1.010090","-0.72923398","0.989910"
" 1","Forecast"," 2.5"," 1.057490","-0.84479955","1.442510"
" 1","Forecast"," 3.0"," 1.226770","-1.07729210","1.773230"
" 2","Forecast"," 5.5"," 3.269300","-1.13891947","2.230700"
" 2","Forecast"," 6.2"," 3.492650","-1.35429564","2.707350"
" 2","Forecast"," 7.5"," 3.417410","-2.16465566","4.082590"
" 2","Forecast"," 8.0"," 4.794090","-1.32634878","3.205910"
" 3","Forecast"," 1.7"," 1.498550","-0.04454808","0.201450"
" 3","Forecast"," 1.9"," 1.639590","-0.11342820","0.260410"
" 3","Forecast"," 2.3"," 1.937930","-0.32359659","0.362070"
" 3","Forecast"," 2.7"," 2.249060","-0.65808553","0.450940"
" 4","Forecast"," 4.5"," 2.070030","-0.83360193","2.429970"
" 4","Forecast"," 5.1"," 1.974330","-1.21175844","3.125670"
" 4","Forecast"," 5.5"," 2.404610","-1.26748569","3.095390"
" 4","Forecast"," 5.5"," 3.137610","-1.35581563","2.362390"
" 5","Forecast"," 2.0"," 1.237260","-0.37993132","0.762740"
" 5","Forecast"," 2.6"," 1.481880","-0.93498006","1.118120"
" 5","Forecast"," 3.2"," 1.548740","-1.05924183","1.651260"
" 5","Forecast"," 3.7"," 1.725470","-1.13079169","1.974530"
" 6","Forecast"," 3.0"," 2.436530","-0.54860325","0.563470"
" 6","Forecast"," 4.3"," 2.841930","-1.15181684","1.458070"
" 6","Forecast"," 5.4"," 3.373170","-1.54742302","2.026830"
" 6","Forecast"," 6.5"," 3.853520","-1.73065426","2.646480"
" 7","Forecast"," 2.0"," 1.455090","-0.07126098","0.544910"
" 7","Forecast"," 2.6"," 1.255760","-0.95992571","1.344240"
" 7","Forecast"," 3.3"," 1.309360","-1.44693830","1.990640"
" 7","Forecast"," 4.2"," 1.796730","-1.62692349","2.403270"
" 8","Forecast"," 1.1"," 1.264560","-0.24208659","0.164560"
" 8","Forecast"," 1.3"," 1.145530","-0.05192034","0.154470"
" 8","Forecast"," 1.6"," 1.293490","-0.18412669","0.306510"
" 8","Forecast"," 1.8"," 2.069260","-0.44649651","0.269260"
" 9","Forecast"," 1.6"," 1.924620","-0.31854073","0.324620"
" 9","Forecast"," 1.8"," 2.102070","-0.33859632","0.302070"
" 9","Forecast"," 2.1"," 2.244670","-0.34850609","0.144670"
" 9","Forecast"," 2.5"," 2.681530","-0.36266646","0.181530"
"10","Forecast"," 1.5"," 0.781675","-1.10646918","0.718325"
"10","Forecast"," 1.9"," 0.699567","-1.39635993","1.200433"
"10","Forecast"," 2.5"," 1.524890","-1.03121846","0.975110"
"10","Forecast"," 3.0"," 2.093360","-1.43358177","0.906640"
