"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week","50.0","52.000000","-3.352407e+00","2.000000"
" 2","Start week","48.0","47.000000","-2.231436e-01","1.000000"
" 3","Start week"," 4.0","51.000000","-1.000000e+01","5.000000"
" 4","Start week","49.0","44.000000","-1.000000e+01","5.000000"
" 5","Start week"," 5.0","52.000000","-1.000000e+01","5.000000"
" 6","Start week","49.0","52.000000","-3.688879e+00","3.000000"
" 7","Start week","49.0","52.000000","-3.688879e+00","3.000000"
" 8","Start week"," 3.0","51.000000","-1.000000e+01","4.000000"
" 9","Start week","49.0","51.000000","-9.364934e-01","2.000000"
"10","Start week","46.0","50.000000","-3.912023e+00","4.000000"
" 1","Peak week"," 2.0"," 2.000000","-7.985077e-01","0.000000"
" 2","Peak week"," 2.0"," 2.000000","-1.053605e-01","0.000000"
" 3","Peak week"," 8.0"," 2.000000","-1.000000e+01","6.000000"
" 4","Peak week"," 9.0","52.000000","-1.000000e+01","9.000000"
" 5","Peak week"," 9.0","52.000000","-1.000000e+01","9.000000"
" 6","Peak week"," 1.0"," 2.000000","-3.566749e-01","1.000000"
" 7","Peak week"," 2.0"," 2.000000","-5.129329e-02","0.000000"
" 8","Peak week"," 7.0"," 1.000000","-1.000000e+01","6.000000"
" 9","Peak week"," 2.0","52.000000","-1.000000e+01","2.000000"
"10","Peak week","52.0","52.000000","-1.224176e+00","0.000000"
" 1","Peak intensity"," 4.2"," 1.600220","-1.000000e+01","2.599780"
" 2","Peak intensity"," 5.9"," 6.015190"," 0.000000e+00","0.115190"
" 3","Peak intensity"," 3.6"," 3.522190"," 0.000000e+00","0.077810"
" 4","Peak intensity"," 3.5"," 3.412520","-1.110223e-16","0.087480"
" 5","Peak intensity"," 2.6"," 2.445150"," 0.000000e+00","0.154850"
" 6","Peak intensity"," 7.7"," 4.765060","-1.000000e+01","2.934940"
" 7","Peak intensity"," 5.5"," 3.533880","-1.000000e+01","1.966120"
" 8","Peak intensity"," 2.5"," 2.184720","-2.002003e-03","0.315280"
" 9","Peak intensity"," 5.9"," 3.299230","-1.000000e+01","2.600770"
"10","Peak intensity"," 4.2"," 3.912940","-1.801810e+00","0.287060"
" 1","Forecast"," 0.8"," 0.987006"," 0.000000e+00","0.187006"
" 1","Forecast"," 0.8"," 0.915791"," 0.000000e+00","0.115791"
" 1","Forecast"," 0.9"," 0.953252"," 0.000000e+00","0.053252"
" 1","Forecast"," 1.0"," 0.985975","-1.918282e-02","0.014025"
" 2","Forecast"," 2.1"," 2.252050"," 0.000000e+00","0.152050"
" 2","Forecast"," 2.3"," 2.474190"," 0.000000e+00","0.174190"
" 2","Forecast"," 2.6"," 2.535010"," 0.000000e+00","0.064990"
" 2","Forecast"," 2.9"," 3.294110"," 0.000000e+00","0.394110"
" 3","Forecast"," 1.3"," 1.369910"," 0.000000e+00","0.069910"
" 3","Forecast"," 1.4"," 1.433300"," 0.000000e+00","0.033300"
" 3","Forecast"," 1.4"," 1.458990"," 0.000000e+00","0.058990"
" 3","Forecast"," 1.4"," 1.769140","-1.257878e-02","0.369140"
" 4","Forecast"," 1.3"," 1.707920","-5.012542e-03","0.407920"
" 4","Forecast"," 1.4"," 1.794380","-3.812604e-01","0.394380"
" 4","Forecast"," 1.4"," 2.061580","-6.753073e-01","0.661580"
" 4","Forecast"," 1.5"," 2.337480","-1.000000e+01","0.837480"
" 5","Forecast"," 0.9"," 1.257140","-1.257878e-02","0.357140"
" 5","Forecast"," 0.9"," 1.241520"," 0.000000e+00","0.341520"
" 5","Forecast"," 0.9"," 1.222200"," 0.000000e+00","0.322200"
" 5","Forecast"," 0.9"," 1.276010"," 0.000000e+00","0.376010"
" 6","Forecast"," 2.2"," 1.903040"," 0.000000e+00","0.296960"
" 6","Forecast"," 2.4"," 2.052630"," 0.000000e+00","0.347370"
" 6","Forecast"," 2.7"," 2.247530","-5.657035e-02","0.452470"
" 6","Forecast"," 3.2"," 2.482920","-6.907755e+00","0.717080"
" 7","Forecast"," 0.7"," 0.861760"," 0.000000e+00","0.161760"
" 7","Forecast"," 0.8"," 0.928632"," 0.000000e+00","0.128632"
" 7","Forecast"," 1.0"," 0.980941"," 0.000000e+00","0.019059"
" 7","Forecast"," 1.3"," 1.440150"," 0.000000e+00","0.140150"
" 8","Forecast"," 0.7"," 0.509425"," 0.000000e+00","0.190575"
" 8","Forecast"," 0.7"," 0.748828"," 0.000000e+00","0.048828"
" 8","Forecast"," 0.7"," 0.902311"," 0.000000e+00","0.202311"
" 8","Forecast"," 0.7"," 0.789586"," 0.000000e+00","0.089586"
" 9","Forecast"," 1.3"," 1.562050"," 0.000000e+00","0.262050"
" 9","Forecast"," 1.4"," 1.668860"," 0.000000e+00","0.268860"
" 9","Forecast"," 1.6"," 1.727650"," 0.000000e+00","0.127650"
" 9","Forecast"," 1.8"," 2.037430","-1.409892e-02","0.237430"
"10","Forecast"," 0.7"," 0.554972"," 0.000000e+00","0.145028"
"10","Forecast"," 0.8"," 0.732252","-1.816397e-02","0.067748"
"10","Forecast"," 1.0"," 0.653724","-2.757535e-01","0.346276"
"10","Forecast"," 1.4"," 0.808109","-7.962879e-01","0.591891"
